,Acidity,Aroma,Flavor,Sweetness,altitude_mean_meters,Country,altitude_low_meters,altitude_high_meters,TotalCupPoints
402,7.58,7.75,7.58,10.0,1700.0,"Tanzania, United Republic Of",1700.0,1700.0,83.33
403,7.67,7.67,7.67,10.0,1100.0,Mexico,1100.0,1100.0,83.33
404,7.67,7.67,7.67,10.0,1300.0,Costa Rica,1300.0,1300.0,83.33
406,7.5,7.5,7.67,10.0,1200.0,Costa Rica,1100.0,1300.0,83.33
408,7.5,7.58,7.5,10.0,1280.16,Haiti,1280.16,1280.16,83.33
409,7.67,7.67,7.67,10.0,1000.0,Colombia,1000.0,1000.0,83.33
410,7.67,7.83,7.67,10.0,1310.64,Guatemala,1310.64,1310.64,83.33
412,7.5,7.75,7.67,10.0,1880.0,Burundi,1880.0,1880.0,83.33
413,7.58,7.5,7.67,10.0,1750.0,Colombia,1750.0,1750.0,83.33
416,7.83,7.67,7.83,10.0,1600.0,Mexico,1600.0,1600.0,83.25
417,7.5,7.5,7.5,10.0,1900.0,Costa Rica,1900.0,1900.0,83.25
419,7.83,7.5,7.58,10.0,2100.0,Guatemala,2100.0,2100.0,83.25
422,7.17,7.58,7.67,10.0,442.0,Colombia,442.0,442.0,83.25
423,7.58,7.83,7.75,10.0,1261.0,Mexico,1261.0,1261.0,83.25
424,7.5,7.67,7.5,10.0,1000.0,Taiwan,1000.0,1000.0,83.25
425,7.58,7.92,7.83,10.0,800.0,Taiwan,800.0,800.0,83.25
426,7.58,7.58,7.58,10.0,1483.0,Colombia,1483.0,1483.0,83.25
427,7.67,7.5,7.67,10.0,1500.0,Guatemala,1500.0,1500.0,83.25
428,7.33,7.83,7.5,10.0,1750.0,Colombia,1750.0,1750.0,83.25
429,7.5,7.58,7.75,10.0,1300.0,Mexico,1300.0,1300.0,83.25
432,7.92,7.75,7.75,10.0,1000.0,Mexico,1000.0,1000.0,83.25
433,7.83,7.83,7.58,10.0,1310.64,Guatemala,1310.64,1310.64,83.25
434,7.58,7.75,7.67,10.0,1200.0,Brazil,1200.0,1200.0,83.25
435,7.42,7.67,7.58,10.0,175.0,Colombia,175.0,175.0,83.25
436,7.5,7.67,7.67,10.0,1775.0,Colombia,1600.0,1950.0,83.25
437,7.42,7.92,7.75,10.0,1700.0,Colombia,1600.0,1800.0,83.25
438,7.25,8.0,7.67,10.0,1880.0,Colombia,1880.0,1880.0,83.25
439,7.42,7.92,7.75,10.0,1800.0,Colombia,1800.0,1800.0,83.25
440,7.58,7.67,7.42,10.0,890.0,Brazil,890.0,890.0,83.17
441,7.67,7.58,7.58,10.0,1901.0,Guatemala,1901.0,1901.0,83.17
442,7.67,7.67,7.58,10.0,168.0,"Tanzania, United Republic Of",168.0,168.0,83.17
444,7.33,7.58,7.42,10.0,1550.0,Vietnam,1550.0,1550.0,83.17
445,7.75,7.67,7.75,10.0,1500.0,Guatemala,1500.0,1500.0,83.17
446,7.67,7.67,7.67,10.0,1450.0,Honduras,1450.0,1450.0,83.17
447,7.67,7.5,7.67,10.0,1200.0,China,1200.0,1200.0,83.17
448,7.67,7.67,7.67,10.0,1600.0,China,1600.0,1600.0,83.17
449,7.67,7.5,7.5,10.0,1350.0,El Salvador,1350.0,1350.0,83.17
450,7.83,7.5,7.75,10.0,1500.0,Guatemala,1500.0,1500.0,83.17
451,7.75,7.92,7.67,10.0,1650.0,Guatemala,1400.0,1900.0,83.17
452,7.75,7.83,7.75,9.33,250.5,Kenya,1.0,500.0,83.17
453,7.75,7.67,7.58,10.0,800.0,Thailand,800.0,800.0,83.17
454,7.58,7.58,7.67,10.0,1653.0,"Tanzania, United Republic Of",1653.0,1653.0,83.17
455,7.67,7.58,7.5,10.0,1775.0,Colombia,1600.0,1950.0,83.17
456,7.42,8.0,7.67,10.0,1800.0,Uganda,1800.0,1800.0,83.17
458,7.67,7.5,7.5,10.0,1450.0,Honduras,1450.0,1450.0,83.17
459,7.67,7.67,7.67,10.0,1350.0,Honduras,1350.0,1350.0,83.17
460,8.17,7.33,7.83,10.0,1524.0,Guatemala,1524.0,1524.0,83.17
462,7.75,7.58,7.5,10.0,1800.0,"Tanzania, United Republic Of",1800.0,1800.0,83.17
463,7.67,7.67,7.83,10.0,1310.64,Guatemala,1310.64,1310.64,83.17
464,7.58,7.75,7.58,10.0,1500.0,Mexico,1500.0,1500.0,83.17
465,7.5,7.75,7.67,10.0,532.0,Mexico,532.0,532.0,83.17
466,7.67,7.58,7.75,10.0,1089.0,Mexico,1089.0,1089.0,83.17
467,7.5,7.67,7.5,10.0,1775.0,Colombia,1600.0,1950.0,83.17
468,7.75,7.75,7.5,10.0,700.0,Mexico,700.0,700.0,83.17
469,7.58,7.58,7.67,10.0,1750.0,Colombia,1750.0,1750.0,83.17
470,7.58,7.5,7.75,10.0,1380.0,Mexico,1380.0,1380.0,83.17
471,7.5,7.75,7.67,10.0,1000.0,Brazil,1000.0,1000.0,83.17
472,7.58,7.92,7.58,10.0,950.0,Brazil,950.0,950.0,83.17
473,7.5,7.75,7.5,9.33,1402.08,Guatemala,1402.08,1402.08,83.17
474,7.5,7.75,7.5,10.0,1000.0,Brazil,1000.0,1000.0,83.17
475,7.5,7.58,7.75,10.0,900.0,Brazil,900.0,900.0,83.17
476,8.08,7.42,7.83,10.0,1200.0,El Salvador,1200.0,1200.0,83.17
477,8.08,7.75,8.0,9.33,1850.0,Ethiopia,1850.0,1850.0,83.17
478,7.67,7.58,7.67,10.0,1799.0,Colombia,1799.0,1799.0,83.08
480,7.5,7.58,7.58,10.0,905.0,Brazil,905.0,905.0,83.08
481,7.33,7.33,7.67,10.0,1.0,Brazil,1.0,1.0,83.08
482,7.83,7.83,7.92,10.0,750.0,Taiwan,700.0,800.0,83.08
484,7.42,7.58,7.83,10.0,1200.0,Brazil,1200.0,1200.0,83.08
485,7.67,7.83,7.33,10.0,1300.0,Costa Rica,1200.0,1400.0,83.08
487,7.5,7.75,7.75,10.0,1300.0,Taiwan,1300.0,1300.0,83.08
489,7.75,7.75,7.67,10.0,1400.0,Mexico,1400.0,1400.0,83.08
492,7.58,7.33,7.33,10.0,1775.0,Colombia,1600.0,1950.0,83.08
493,7.25,7.83,7.75,10.0,1880.0,Colombia,1880.0,1880.0,83.08
494,7.58,7.67,7.58,10.0,1350.0,Indonesia,1300.0,1400.0,83.08
496,7.75,7.58,7.5,10.0,890.0,Brazil,890.0,890.0,83.0
497,7.67,7.5,7.58,10.0,894.0,Brazil,894.0,894.0,83.0
498,7.67,7.5,7.67,10.0,872.0,Brazil,872.0,872.0,83.0
499,7.42,7.67,7.58,10.0,1473.0,Uganda,1473.0,1473.0,83.0
500,7.58,7.67,7.67,10.0,1645.0,Uganda,1645.0,1645.0,83.0
501,7.67,7.67,7.67,10.0,442.0,Colombia,442.0,442.0,83.0
502,7.58,7.75,7.67,10.0,1550.0,Vietnam,1550.0,1550.0,83.0
503,7.92,7.67,7.75,10.0,1550.0,Guatemala,1300.0,1800.0,83.0
504,7.75,7.75,7.67,10.0,1371.6,Guatemala,1371.6,1371.6,83.0
505,7.67,7.83,7.67,10.0,1500.0,Guatemala,1500.0,1500.0,83.0
506,7.5,7.67,7.67,10.0,1000.0,Brazil,900.0,1100.0,83.0
507,7.58,7.92,7.92,10.0,1200.0,Taiwan,1200.0,1200.0,83.0
508,7.5,7.83,7.58,10.0,1800.0,Uganda,1800.0,1800.0,83.0
509,7.83,7.67,7.5,9.33,853.44,United States (Puerto Rico),853.44,853.44,83.0
510,7.83,7.67,7.67,10.0,1500.0,Guatemala,1500.0,1500.0,83.0
511,7.58,7.67,7.58,10.0,1200.0,Costa Rica,1100.0,1300.0,83.0
512,7.67,7.75,7.58,10.0,1250.0,Brazil,1250.0,1250.0,83.0
513,7.5,7.75,7.42,10.0,1775.0,Colombia,1600.0,1950.0,83.0
514,7.33,7.83,7.5,10.0,1750.0,Colombia,1750.0,1750.0,83.0
515,7.42,7.33,7.67,10.0,1000.0,Colombia,1000.0,1000.0,83.0
516,7.67,7.58,7.75,10.0,1000.0,Colombia,1000.0,1000.0,83.0
517,7.58,7.5,7.5,10.0,1775.0,Colombia,1600.0,1950.0,83.0
518,7.5,7.67,7.58,10.0,750.0,Mexico,750.0,750.0,83.0
519,7.58,7.67,7.83,10.0,1200.0,Mexico,1200.0,1200.0,83.0
520,7.5,7.5,7.67,10.0,1200.0,Mexico,1200.0,1200.0,83.0
522,7.67,7.75,7.58,10.0,1625.0,Colombia,1500.0,1750.0,83.0
523,7.58,7.67,7.58,10.0,1750.0,Colombia,1750.0,1750.0,83.0
524,7.67,7.5,7.67,10.0,1371.6,Guatemala,1371.6,1371.6,83.0
525,7.5,7.67,7.67,10.0,1775.0,Colombia,1600.0,1950.0,83.0
527,7.33,7.33,7.67,10.0,1450.0,Colombia,1050.0,1850.0,83.0
530,7.67,7.5,7.58,10.0,1800.0,Colombia,1800.0,1800.0,83.0
533,7.58,7.67,7.58,10.0,890.0,Brazil,890.0,890.0,82.92
534,7.58,7.5,7.5,9.33,1350.0,El Salvador,1350.0,1350.0,82.92
535,7.33,7.58,7.67,10.0,1500.0,Colombia,1500.0,1500.0,82.92
536,7.67,7.17,7.83,10.0,350.0,Taiwan,350.0,350.0,82.92
537,7.5,7.58,7.58,10.0,2000.0,Ethiopia,2000.0,2000.0,82.92
538,7.33,7.5,7.58,10.0,775.0,Taiwan,775.0,775.0,82.92
539,7.58,7.58,7.58,10.0,1200.0,Philippines,1200.0,1200.0,82.92
540,7.42,8.08,7.5,10.0,1600.0,Philippines,1600.0,1600.0,82.92
541,7.58,7.83,7.67,10.0,1059.0,Mexico,1059.0,1059.0,82.92
542,7.42,7.75,7.67,10.0,1300.0,Mexico,1300.0,1300.0,82.92
543,7.83,7.08,7.5,10.0,11000.0,Brazil,11000.0,11000.0,82.92
544,7.58,8.0,7.5,10.0,1650.0,Uganda,1400.0,1900.0,82.92
545,7.5,7.75,7.58,10.0,1400.0,Uganda,1400.0,1400.0,82.92
546,7.58,7.75,7.5,10.0,1500.0,Guatemala,1500.0,1500.0,82.92
547,7.5,7.67,7.83,10.0,1500.0,Guatemala,1500.0,1500.0,82.92
549,7.33,7.58,7.5,10.0,1900.0,Colombia,1800.0,2000.0,82.92
550,7.5,7.75,7.5,10.0,1750.0,Colombia,1750.0,1750.0,82.92
551,7.92,7.83,7.75,10.0,1706.88,Guatemala,1658.112,1755.648,82.92
552,7.42,7.83,7.67,10.0,1450.0,Colombia,1450.0,1450.0,82.92
553,7.25,7.58,7.58,10.0,1248.0,Mexico,1248.0,1248.0,82.92
554,7.58,7.67,7.33,10.0,1040.0,Vietnam,1040.0,1040.0,82.92
555,7.17,8.0,7.92,10.0,1400.0,Mexico,1400.0,1400.0,82.92
557,7.75,7.5,7.75,10.0,1450.0,Colombia,1050.0,1850.0,82.92
559,7.58,7.75,7.58,10.0,1754.0,Kenya,1754.0,1754.0,82.83
560,7.67,7.5,7.58,10.0,1700.0,Guatemala,1700.0,1700.0,82.83
561,7.5,7.67,7.58,10.0,905.0,Brazil,905.0,905.0,82.83
562,7.83,7.33,7.67,10.0,1250.0,El Salvador,1250.0,1250.0,82.83
563,7.83,7.83,7.92,9.33,1900.0,Rwanda,1900.0,1900.0,82.83
564,7.42,7.25,7.58,10.0,1040.0,Vietnam,1040.0,1040.0,82.83
565,7.67,7.58,7.58,10.0,1219.2,Guatemala,1219.2,1219.2,82.83
566,7.67,7.58,7.83,10.0,900.0,Brazil,900.0,900.0,82.83
567,7.58,7.83,7.67,10.0,1600.0,Colombia,1200.0,2000.0,82.83
568,7.5,7.42,7.58,10.0,1200.0,United States,1200.0,1200.0,82.83
569,7.67,7.67,7.67,10.0,1500.0,Guatemala,1500.0,1500.0,82.83
570,7.5,7.5,7.42,10.0,1800.0,Colombia,1800.0,1800.0,82.83
571,7.42,7.83,7.5,10.0,1775.0,Colombia,1600.0,1950.0,82.83
572,7.25,7.67,7.5,10.0,1400.0,"Tanzania, United Republic Of",1400.0,1400.0,82.83
573,7.58,7.58,7.67,10.0,1550.0,Mexico,1550.0,1550.0,82.83
574,7.75,7.67,7.58,10.0,1250.0,Mexico,1250.0,1250.0,82.83
575,7.5,7.67,7.67,10.0,1310.64,Guatemala,1310.64,1310.64,82.83
576,7.42,7.58,7.58,10.0,1380.0,Mexico,1380.0,1380.0,82.83
577,7.75,7.75,7.58,10.0,1200.0,El Salvador,1200.0,1200.0,82.83
578,7.67,7.5,7.58,10.0,1100.0,Guatemala,1100.0,1100.0,82.75
579,7.58,7.58,7.67,10.0,1800.0,Guatemala,1800.0,1800.0,82.75
580,7.67,7.5,7.67,10.0,1700.0,Guatemala,1700.0,1700.0,82.75
581,7.58,7.5,7.5,10.0,1219.2,Guatemala,1219.2,1219.2,82.75
582,7.67,7.42,7.58,10.0,1219.2,Guatemala,1219.2,1219.2,82.75
583,7.58,7.5,7.58,10.0,1500.0,Indonesia,1500.0,1500.0,82.75
584,7.58,7.58,7.58,10.0,157.8864,Guatemala,157.8864,157.8864,82.75
585,7.67,7.83,7.67,10.0,650.0,Taiwan,650.0,650.0,82.75
586,7.33,7.67,7.67,10.0,1250.0,El Salvador,1250.0,1250.0,82.75
587,7.67,7.58,7.5,10.0,1850.0,Costa Rica,1850.0,1850.0,82.75
588,7.58,7.58,7.5,10.0,1400.0,Honduras,1400.0,1400.0,82.75
589,7.5,7.5,7.5,10.0,905.0,Brazil,905.0,905.0,82.75
590,7.33,7.67,7.5,10.0,1100.0,China,1100.0,1100.0,82.75
591,7.67,7.5,7.67,10.0,1500.0,China,1500.0,1500.0,82.75
592,7.75,7.5,7.58,10.0,1775.0,Colombia,1600.0,1950.0,82.75
593,7.5,7.75,7.58,10.0,1442.0,Malawi,1442.0,1442.0,82.75
594,7.75,7.75,7.42,10.0,1524.0,Guatemala,1524.0,1524.0,82.75
595,7.58,7.67,7.42,10.0,165.0,Colombia,165.0,165.0,82.75
598,7.33,7.58,7.33,10.0,1300.0,Colombia,1300.0,1300.0,82.75
599,7.5,7.58,7.58,10.0,1550.0,Mexico,1550.0,1550.0,82.75
600,7.75,7.58,7.58,10.0,1200.0,Mexico,1200.0,1200.0,82.75
601,8.0,8.08,8.17,10.0,1200.0,Mexico,1200.0,1200.0,82.75
602,7.67,7.5,7.58,10.0,1625.0,Colombia,1400.0,1850.0,82.75
603,7.58,7.67,7.58,10.0,1775.0,Colombia,1600.0,1950.0,82.75
605,7.58,7.42,7.42,10.0,1100.0,Panama,1100.0,1100.0,82.75
607,7.75,7.5,7.58,10.0,890.0,Brazil,890.0,890.0,82.67
608,7.67,7.5,7.58,10.0,934.0,Brazil,934.0,934.0,82.67
609,7.42,7.67,7.67,10.0,1300.0,Laos,1300.0,1300.0,82.67
610,7.67,7.67,7.67,9.33,1200.0,El Salvador,1200.0,1200.0,82.67
611,7.75,7.5,7.67,10.0,1300.0,Mexico,1300.0,1300.0,82.67
613,7.67,7.58,7.5,10.0,1.0,Brazil,1.0,1.0,82.67
615,7.5,7.5,7.5,10.0,1700.0,"Tanzania, United Republic Of",1700.0,1700.0,82.67
616,7.58,7.58,7.5,10.0,1550.0,"Tanzania, United Republic Of",1550.0,1550.0,82.67
617,7.42,8.0,7.83,10.0,1200.0,Taiwan,1200.0,1200.0,82.67
618,7.5,7.67,7.58,10.0,1296.0,Mexico,1296.0,1296.0,82.67
619,7.67,7.67,7.5,10.0,1650.0,Uganda,1400.0,1900.0,82.67
620,7.5,7.67,7.5,10.0,1240.0,Taiwan,1240.0,1240.0,82.67
621,7.67,7.42,7.5,10.0,1500.0,Thailand,1500.0,1500.0,82.67
622,7.25,7.75,7.58,10.0,1800.0,Colombia,1800.0,1800.0,82.67
624,7.67,7.67,7.67,10.0,1500.0,Guatemala,1500.0,1500.0,82.67
626,7.58,7.58,7.58,10.0,1100.0,Mexico,1100.0,1100.0,82.67
627,7.58,7.5,7.58,10.0,950.0,Mexico,950.0,950.0,82.67
628,7.42,7.33,7.58,10.0,3850.0,Colombia,1800.0,5900.0,82.67
630,7.75,7.75,7.58,10.0,1400.0,Mexico,1400.0,1400.0,82.67
631,7.33,8.08,7.67,10.0,1800.0,Colombia,1800.0,1800.0,82.67
633,7.75,7.5,7.42,10.0,1219.2,Guatemala,1219.2,1219.2,82.58
634,7.42,7.67,7.42,10.0,1050.0,Taiwan,1050.0,1050.0,82.58
636,7.08,7.25,7.25,10.0,200.0,Taiwan,200.0,200.0,82.58
638,7.33,7.83,7.58,10.0,1250.0,Indonesia,1200.0,1300.0,82.58
639,7.67,7.75,7.33,10.0,800.0,Thailand,800.0,800.0,82.58
640,7.42,7.42,7.58,10.0,1450.0,Thailand,1400.0,1500.0,82.58
641,7.5,7.75,7.42,10.0,1317.0,"Tanzania, United Republic Of",1317.0,1317.0,82.58
642,7.58,7.83,7.5,10.0,1650.0,Uganda,1400.0,1900.0,82.58
643,7.67,7.67,7.42,10.0,1300.0,Costa Rica,1200.0,1400.0,82.58
646,7.42,7.75,7.25,10.0,1750.0,Colombia,1750.0,1750.0,82.58
647,7.25,7.75,7.5,10.0,1750.0,Colombia,1750.0,1750.0,82.58
648,7.58,7.58,7.5,10.0,1750.0,Colombia,1750.0,1750.0,82.58
649,7.5,7.5,7.58,10.0,1250.0,Mexico,1250.0,1250.0,82.58
650,7.75,7.67,7.58,10.0,1150.0,Mexico,1150.0,1150.0,82.58
651,7.42,7.33,7.42,10.0,1775.0,Colombia,1600.0,1950.0,82.58
652,7.75,7.58,7.5,10.0,975.0,Brazil,900.0,1050.0,82.58
653,7.5,7.5,7.5,10.0,890.0,Brazil,890.0,890.0,82.5
654,7.5,7.83,7.75,10.0,1250.0,Indonesia,1250.0,1250.0,82.5
655,7.5,7.58,7.58,10.0,1400.0,Honduras,1400.0,1400.0,82.5
656,7.5,7.5,7.5,10.0,1219.2,Guatemala,1219.2,1219.2,82.5
657,7.75,7.5,7.83,10.0,800.0,Thailand,800.0,800.0,82.5
658,7.5,7.33,7.5,10.0,1450.0,Thailand,1400.0,1500.0,82.5
659,7.58,7.67,7.42,10.0,1600.0,"Tanzania, United Republic Of",1600.0,1600.0,82.5
661,7.67,7.42,7.58,10.0,1600.0,Mexico,1500.0,1700.0,82.5
662,7.33,7.42,7.5,10.0,1260.0,Brazil,1260.0,1260.0,82.5
663,7.67,7.83,7.42,10.0,1310.64,Guatemala,1310.64,1310.64,82.5
664,7.42,7.5,7.5,10.0,1750.0,Colombia,1750.0,1750.0,82.5
665,7.33,7.83,7.67,10.0,1310.64,Guatemala,1310.64,1310.64,82.5
666,7.5,7.5,7.58,10.0,1679.0,Mexico,1679.0,1679.0,82.5
667,7.67,7.67,7.5,10.0,1100.0,Mexico,1100.0,1100.0,82.5
668,7.58,7.92,7.5,10.0,1650.0,Mexico,1650.0,1650.0,82.5
670,7.67,7.67,7.42,10.0,1250.0,Brazil,1250.0,1250.0,82.5
671,7.5,7.67,7.5,10.0,1775.0,Colombia,1600.0,1950.0,82.5
673,7.67,7.75,7.58,10.0,1600.0,Guatemala,1600.0,1600.0,82.5
674,7.58,7.42,7.67,10.0,1500.0,Honduras,1500.0,1500.0,82.42
675,7.75,7.58,7.5,10.0,1700.0,Guatemala,1700.0,1700.0,82.42
676,7.67,7.67,7.58,10.0,1700.0,Guatemala,1700.0,1700.0,82.42
677,7.67,7.58,7.5,10.0,157.8864,Guatemala,157.8864,157.8864,82.42
679,7.75,5.08,7.75,10.0,1600.0,Colombia,1600.0,1600.0,82.42
680,7.5,7.67,7.42,10.0,1600.0,China,1600.0,1600.0,82.42
682,7.42,7.67,7.25,10.0,2285.0,"Tanzania, United Republic Of",2285.0,2285.0,82.42
683,7.5,7.17,7.83,10.0,1.0,Brazil,1.0,1.0,82.42
684,7.67,7.5,7.5,10.0,1400.0,Guatemala,1400.0,1400.0,82.42
685,7.58,7.42,7.5,10.0,1296.0,Mexico,1296.0,1296.0,82.42
686,7.5,7.58,7.67,10.0,1000.0,Brazil,1000.0,1000.0,82.42
688,7.5,7.25,7.33,10.0,1260.0,Brazil,1260.0,1260.0,82.42
689,7.92,7.5,7.58,10.0,1170.0,Mexico,1170.0,1170.0,82.42
691,7.5,7.67,7.42,10.0,1775.0,Colombia,1600.0,1950.0,82.42
692,7.67,7.5,7.42,10.0,1560.0,Mexico,1560.0,1560.0,82.42
693,7.42,7.42,7.58,10.0,1400.0,Mexico,1400.0,1400.0,82.42
694,7.58,7.42,7.58,10.0,1300.0,Mexico,1300.0,1300.0,82.42
695,7.58,7.75,7.33,10.0,1170.0,Mexico,1170.0,1170.0,82.42
696,7.5,7.5,7.58,10.0,1300.0,Mexico,1300.0,1300.0,82.42
697,7.5,7.58,7.58,10.0,1350.0,Mexico,1350.0,1350.0,82.42
698,7.58,7.58,7.33,10.0,1150.0,Mexico,1150.0,1150.0,82.42
699,7.42,7.67,7.58,10.0,1250.0,Mexico,1250.0,1250.0,82.42
700,7.67,7.83,7.5,10.0,1450.0,Mexico,1450.0,1450.0,82.42
701,7.42,7.67,7.33,10.0,442.0,Colombia,442.0,442.0,82.42
703,7.58,7.33,7.58,10.0,1750.0,Colombia,1750.0,1750.0,82.42
704,7.25,7.58,7.25,10.0,1750.0,Colombia,1750.0,1750.0,82.42
705,7.5,7.5,7.58,10.0,1396.0,Honduras,1396.0,1396.0,82.33
706,7.33,7.33,7.5,10.0,982.0,Brazil,982.0,982.0,82.33
708,7.5,7.5,7.5,10.0,934.0,Brazil,934.0,934.0,82.33
709,7.25,7.75,7.5,10.0,1850.0,Costa Rica,1850.0,1850.0,82.33
710,7.5,7.75,7.33,10.0,1550.0,Costa Rica,1550.0,1550.0,82.33
711,7.5,7.5,7.58,10.0,1580.0,China,1580.0,1580.0,82.33
712,8.33,8.25,7.83,10.0,1268.0,Brazil,1268.0,1268.0,82.33
714,7.83,7.5,7.42,10.0,1676.4,Guatemala,1676.4,1676.4,82.33
715,7.58,7.33,7.58,10.0,1450.0,Malawi,1450.0,1450.0,82.33
716,8.08,7.75,8.08,6.67,1100.0,Brazil,1100.0,1100.0,82.33
717,7.58,7.58,7.67,10.0,1524.0,Guatemala,1524.0,1524.0,82.33
719,7.17,7.42,7.33,10.0,1300.0,Colombia,1300.0,1300.0,82.33
720,7.5,7.5,7.5,10.0,200.0,Taiwan,200.0,200.0,82.33
721,7.5,7.5,7.5,10.0,600.0,Taiwan,600.0,600.0,82.33
722,7.5,7.5,7.42,10.0,1310.64,Guatemala,1310.64,1310.64,82.33
723,7.5,7.5,7.42,10.0,1750.0,Colombia,1750.0,1750.0,82.33
724,7.5,7.67,7.5,10.0,1300.0,Mexico,1300.0,1300.0,82.33
726,7.67,7.67,7.5,10.0,1752.6,Guatemala,1676.4,1828.8,82.33
727,7.33,7.58,7.67,10.0,441.0,Mexico,441.0,441.0,82.33
728,7.58,7.67,7.58,10.0,1170.0,Mexico,1170.0,1170.0,82.33
729,7.5,7.5,7.67,10.0,1310.64,Guatemala,1310.64,1310.64,82.33
730,7.5,7.58,7.5,10.0,1100.0,Brazil,1100.0,1100.0,82.33
731,7.33,8.0,7.75,10.0,1300.0,Mexico,1200.0,1400.0,82.33
732,7.58,7.58,7.58,10.0,950.0,Brazil,950.0,950.0,82.33
733,7.25,7.83,7.58,10.0,442.0,Colombia,442.0,442.0,82.33
734,7.42,7.58,7.5,10.0,1100.0,Brazil,1100.0,1100.0,82.25
736,7.67,7.67,7.5,10.0,1450.0,Guatemala,1450.0,1450.0,82.25
737,7.08,7.42,7.67,10.0,1.0,Brazil,1.0,1.0,82.25
738,7.67,7.58,7.67,9.33,1500.0,El Salvador,1500.0,1500.0,82.25
739,7.58,7.58,7.5,10.0,1350.0,Honduras,1350.0,1350.0,82.25
740,7.42,7.58,7.42,10.0,1180.0,Malawi,1180.0,1180.0,82.25
741,7.42,7.75,7.58,10.0,1100.0,Brazil,1100.0,1100.0,82.25
742,7.5,7.5,7.5,10.0,650.0,Taiwan,650.0,650.0,82.25
743,7.42,7.58,7.58,10.0,1338.0,Mexico,1338.0,1338.0,82.25
745,7.17,7.58,7.58,10.0,533.0,Mexico,533.0,533.0,82.25
746,7.58,7.5,7.5,10.0,1390.8024,Guatemala,1390.8024,1390.8024,82.25
747,7.67,7.5,7.58,10.0,1170.0,Mexico,1170.0,1170.0,82.25
748,7.5,7.67,7.58,10.0,1250.0,Mexico,1250.0,1250.0,82.25
750,7.67,7.33,7.58,10.0,1100.0,Mexico,1100.0,1100.0,82.25
751,7.58,7.42,7.5,10.0,900.0,Mexico,900.0,900.0,82.25
752,7.33,7.5,7.42,10.0,1750.0,Colombia,1750.0,1750.0,82.25
753,7.33,7.67,7.33,10.0,1775.0,Colombia,1600.0,1950.0,82.25
756,7.42,7.42,7.42,10.0,934.0,Brazil,934.0,934.0,82.17
757,7.42,7.5,7.5,10.0,1500.0,Honduras,1500.0,1500.0,82.17
758,7.42,7.5,7.5,10.0,1000.0,Nicaragua,1000.0,1000.0,82.17
759,7.33,7.58,7.42,10.0,1650.0,"Tanzania, United Republic Of",1500.0,1800.0,82.17
760,7.5,7.42,7.42,10.0,1600.0,"Tanzania, United Republic Of",1600.0,1600.0,82.17
761,7.33,6.92,7.58,10.0,1.0,Brazil,1.0,1.0,82.17
762,7.75,7.42,7.42,10.0,800.0,Thailand,800.0,800.0,82.17
763,7.42,7.67,7.5,10.0,1350.0,Honduras,1350.0,1350.0,82.17
764,7.5,7.42,7.42,10.0,1500.0,Guatemala,1500.0,1500.0,82.17
766,7.58,7.75,7.42,10.0,1700.0,"Tanzania, United Republic Of",1700.0,1700.0,82.17
767,7.42,7.42,7.33,10.0,1100.0,Mexico,1100.0,1100.0,82.17
768,7.42,7.5,7.5,10.0,1400.0,Mexico,1200.0,1600.0,82.17
769,7.5,7.5,7.5,10.0,1200.0,Taiwan,1200.0,1200.0,82.17
770,7.17,7.67,7.5,10.0,800.0,Taiwan,800.0,800.0,82.17
771,7.58,7.33,7.25,10.0,1750.0,Colombia,1750.0,1750.0,82.17
772,7.5,7.5,7.67,10.0,1144.0,Mexico,1144.0,1144.0,82.17
773,7.75,7.25,7.75,9.33,1350.0,Guatemala,1350.0,1350.0,82.17
774,7.5,7.5,7.58,10.0,1000.0,Mexico,1000.0,1000.0,82.17
775,7.5,7.0,7.67,10.0,1200.0,Mexico,1200.0,1200.0,82.17
776,7.17,7.58,7.67,10.0,1800.0,Colombia,1800.0,1800.0,82.17
777,7.42,7.5,7.5,10.0,1300.0,Indonesia,1300.0,1300.0,82.08
779,7.5,7.42,7.58,10.0,894.0,Brazil,894.0,894.0,82.08
780,7.58,7.25,7.25,10.0,1.0,Brazil,1.0,1.0,82.08
781,7.25,7.75,7.42,10.0,1300.0,Costa Rica,1200.0,1400.0,82.08
782,7.42,7.42,7.33,10.0,1500.0,"Tanzania, United Republic Of",1500.0,1500.0,82.08
783,7.33,7.42,7.5,10.0,1600.0,"Tanzania, United Republic Of",1500.0,1700.0,82.08
785,7.33,7.58,7.33,10.0,13.0,Costa Rica,13.0,13.0,82.08
787,7.33,7.42,7.58,10.0,1300.0,Mexico,1300.0,1300.0,82.08
788,7.5,7.5,7.42,10.0,1800.0,Mexico,1800.0,1800.0,82.08
789,7.58,7.67,7.5,10.0,1250.0,Mexico,1250.0,1250.0,82.08
790,7.08,7.67,8.0,10.0,1040.0,Vietnam,1040.0,1040.0,82.08
791,7.75,7.58,7.42,10.0,1250.0,Mexico,1250.0,1250.0,82.08
793,7.33,7.67,7.42,10.0,1600.0,Colombia,1600.0,1600.0,82.08
794,7.5,7.5,7.5,10.0,1600.0,Honduras,1600.0,1600.0,82.0
795,7.33,7.5,7.5,10.0,1600.0,Honduras,1600.0,1600.0,82.0
796,7.5,7.5,7.33,10.0,944.0,Brazil,944.0,944.0,82.0
